,,,,,,,,
코스 제목 (유튜브 명),일수 분류,일차,전체 순서,장소명,주소,카테고리,조회수,유튜브 링크
"Living alone vlogㅣA day trip to Busan, Making kimbap, Cooking Soft tofu.",당일,1,1,아비베르컴퍼니,부산광역시 부산진구 동천로 66 1층,기타,"140,081",https://www.youtube.com/watch?v=rvgTZQSeXyo&t=0s
,당일,1,2,페이퍼가든 본점,부산광역시 부산진구 전포대로210번길 8 2층,기타,,썸네일 ID
,당일,1,3,거대곰탕,부산광역시 해운대구 해운대해변로 163 현대베네시티아파트 상가동 103호,맛집,,rvgTZQSeXyo
,당일,1,4,랑데자뷰 해운대점,부산광역시 해운대구 달맞이길62번길 23 2~5층,카페,,
,당일,1,5,옵스 해운대점,부산광역시 해운대구 중동1로 31,맛집,,
,당일,1,6,카페히토,부산광역시 해운대구 우동1로 21 1층,카페,,
,,,,,,,,
코스 제목 (유튜브 명),일수 분류,일차,전체 순서,장소명,주소,카테고리,조회수,유튜브 링크
[vlog] Busan Day Trip Vlog with My Best Friend of 4 Years l Date Vlog l Gwangalli Beach,당일,1,1,부산역 (고속철도),부산광역시 동구 중앙대로 206,기타,"1,811",https://www.youtube.com/watch?v=pYFOfMdoQa4&t=0s
,당일,1,2,디에이블 광안점,부산광역시 수영구 민락수변로 29 3층 디에이블,맛집,,썸네일 ID
,당일,1,3,톤쇼우 광안점,부산광역시 수영구 광안해변로279번길 13 1층,관광지,,pYFOfMdoQa4
,당일,1,4,랜들러,부산 수영구 광안해변로 239 5층,카페,,
,당일,1,5,러브이즈기빙,부산광역시 수영구 광안로49번길 24 1층 러브이즈기빙,기타,,
,당일,1,6,밀락더마켓,부산광역시 수영구 민락수변로17번길 56,관광지,,
,당일,1,7,한솥도시락 민락수변공원점,부산광역시 수영구 민락수변로17번길 36 타워더모스트 광안 107호,관광지,,
,당일,1,8,오후의라운지,부산 수영구 민락수변로 239 4층,카페,,
,당일,1,9,자연활어 수정궁,부산광역시 수영구 민락수변로 25,맛집,,
,당일,1,10,별 헤는 밤,부산 수영구 광안해변로 203 10층,카페,,
,당일,1,11,광안대교집,"부산광역시 수영구 광안해변로284번길 38 3층 313호, 314호",관광지,,
,,,,,,,,
코스 제목 (유튜브 명),일수 분류,일차,전체 순서,장소명,주소,카테고리,조회수,유튜브 링크
출발 직전에 50만원 잃어버린 부산 브이로그 ep.1,당일,1,1,부산역 (고속철도),부산광역시 동구 중앙대로 206,기타,"515,836",https://www.youtube.com/watch?v=d-43LBail04&t=0s
,당일,1,2,본전돼지국밥,부산광역시 동구 중앙대로214번길 3-8,맛집,,썸네일 ID
,당일,1,3,광복로패션거리,부산광역시 중구 광복로 72-1,관광지,,d-43LBail04
,당일,1,4,러브이즈기빙 부산광복점,부산 중구 광복로 40,기타,,
,당일,1,5,용두산공원미디어아트첨단공원,부산광역시 중구 용두산길 37-27 용두산공원,관광지,,
,당일,1,6,손목서가,부산 영도구 흰여울길 307,카페,,
,,,,,,,,
코스 제목 (유튜브 명),일수 분류,일차,전체 순서,장소명,주소,카테고리,조회수,유튜브 링크
[vlog] 고2의 일상 브이로그🍁/ 친구들이랑 떠난 부산 당일치기 브이로그🌊💙/ 공부 브이로그/부산•광안리•행궁동 | 류희진,당일,1,1,광안역 부산2호선,부산광역시 수영구 수영로 576,기타,"48,602",https://www.youtube.com/watch?v=8io4NH06-2s&t=0s
,당일,1,2,톤쇼우 광안점,부산광역시 수영구 광안해변로279번길 13 1층,관광지,,썸네일 ID
,당일,1,3,러브이즈기빙,부산광역시 수영구 광안로49번길 24 1층 러브이즈기빙,기타,,8io4NH06-2s
,당일,1,4,랜들러,부산 수영구 광안해변로 235 5층,카페,,
,당일,1,5,디에이블 광안점,부산광역시 수영구 민락수변로 29 3층 디에이블,맛집,,
,,,,,,,,
코스 제목 (유튜브 명),일수 분류,일차,전체 순서,장소명,주소,카테고리,조회수,유튜브 링크
"A Busan native's vlog of a day trip to Japan, with only four lunches.",당일,1,1,서면역 부산1호선,부산광역시 부산진구 중앙대로 730,기타,"42,170",https://www.youtube.com/watch?v=uVCplWi3cwU&t=0s
,당일,1,2,나가하마만게츠,부산광역시 해운대구 우동1로 57 대영빌딩1층,맛집,,썸네일 ID
,당일,1,3,삼정동영업,부산 부산진구 전포대로209번길 11-8,맛집,,uVCplWi3cwU
,당일,1,4,오월동,부산 부산진구 서전로38번길 43-8,맛집,,
,당일,1,5,모모스케,부산 부산진구 전포대로223번길 12,맛집,,
,당일,1,6,인아웃,"부산광역시 부산진구 중앙대로 717 지하층 2열56호,2열66호,3열66호",카페,,
,,,,,,,,
코스 제목 (유튜브 명),일수 분류,일차,전체 순서,장소명,주소,카테고리,조회수,유튜브 링크
부산사람+J가 보면 답답한 P들의 부산 당일치기😎,당일,1,1,부산역 (고속철도),부산광역시 동구 중앙대로 206,기타,"8,138",https://www.youtube.com/watch?v=hJn-PBoKpuE&t=0s
,당일,1,2,개미집국제시장본점,부산광역시 해운대구 구남로 34,관광지,,썸네일 ID
,당일,1,3,자갈치역 부산1호선,부산광역시 중구 구덕로 80,기타,,hJn-PBoKpuE
,당일,1,4,서면역 부산1호선,부산광역시 부산진구 중앙대로 730,기타,,
,당일,1,5,드림씨어터,부산광역시 남구 전포대로 133,관광지,,
,,,,,,,,
코스 제목 (유튜브 명),일수 분류,일차,전체 순서,장소명,주소,카테고리,조회수,유튜브 링크
a one-day trip to Busan,당일,1,1,부산역 (고속철도),부산광역시 동구 중앙대로 206,기타,"4,010",https://www.youtube.com/watch?v=U9TfyOkDoWs&t=0s
,당일,1,2,본전돼지국밥,부산광역시 동구 중앙대로214번길 3-8,맛집,,썸네일 ID
,당일,1,3,감천문화마을,부산광역시 사하구 감내2로 203 감천문화마을안내센터,관광지,,U9TfyOkDoWs
,당일,1,4,카페아방가르드,부산광역시 사하구 옥천로 121,카페,,
,당일,1,5,톤쇼우 광안점,부산광역시 수영구 광안해변로279번길 13 1층,관광지,,
,,,,,,,,
코스 제목 (유튜브 명),일수 분류,일차,전체 순서,장소명,주소,카테고리,조회수,유튜브 링크
1박 2일 부산으로 여행갔다가 당일치기 여행이 된 사연?? | 가족여행,당일,1,1,부산역 (고속철도),부산광역시 동구 중앙대로 206,기타,"1,994",https://www.youtube.com/watch?v=6fFEsWwM9OI&t=0s
,당일,1,2,해운대역 부산2호선,부산광역시 해운대구 해운대로 626,기타,,썸네일 ID
,당일,1,3,해운대시장,부산광역시 해운대구 중동1로 42-16,관광지,,6fFEsWwM9OI
,당일,1,4,상국이네,부산광역시 해운대구 구남로41번길 40-1 상국이네,맛집,,
,당일,1,5,다비치안경 해운대해수욕장입구점,부산광역시 해운대구 구남로 11-1 다비치안경,관광지,,
,당일,1,6,부산엑스더스카이,부산광역시 해운대구 달맞이길 30,관광지,,
,,,,,,,,
코스 제목 (유튜브 명),일수 분류,일차,전체 순서,장소명,주소,카테고리,조회수,유튜브 링크
2 days and 1 night Busan travel vlog🌊 I Life Shot Ocean View Hotel•Twice Visited Cafe•Old Restaur...,1박 2일,1,1,부산역 (고속철도),부산광역시 동구 중앙대로 206,기타,"19,345",https://www.youtube.com/watch?v=KEaZ1MOH308&t=0s
,1박 2일,1,2,양산왕돼지국밥,"부산광역시 해운대구 재반로 70 양산왕돼지국밥,보쌈",맛집,,썸네일 ID
,1박 2일,1,3,해운대옛날팥빙수단팥죽,부산광역시 해운대구 해운대해변로 329-6,카페,,KEaZ1MOH308
,1박 2일,1,4,웨스틴 조선 부산,부산광역시 해운대구 동백로 67 웨스틴 조선 부산,기타,,
,1박 2일,1,5,웨스틴 조선 부산 오킴스,부산광역시 해운대구 동백로 67 1층,맛집,,
,1박 2일,1,6,다비치안경 해운대해수욕장입구점,부산광역시 해운대구 구남로 11-1 다비치안경,관광지,,
,1박 2일,1,7,해운대산곰장어,부산광역시 해운대구 구남로41번길 14-1,맛집,,
--- Day 2 코스 시작 ---,,,,,,,,
,1박 2일,2,8,웨스틴 조선 부산,부산광역시 해운대구 동백로 67 웨스틴 조선 부산,기타,,
,1박 2일,2,9,톤쇼우,부산광역시 금정구 금강로 247-10,맛집,,
,1박 2일,2,10,삼진어묵 부산역광장점,부산광역시 동구 중앙대로214번길 7,기타,,
,,,,,,,,
코스 제목 (유튜브 명),일수 분류,일차,전체 순서,장소명,주소,카테고리,조회수,유튜브 링크
"A 2-day, 1-night Busan trip that'll blow your mind🌊 | Traveling is just a distraction, today's pu...",1박 2일,1,1,이재모피자 본점,부산광역시 중구 광복중앙로 31,맛집,"2,821",https://www.youtube.com/watch?v=URtDAfeGITU&t=0s
,1박 2일,1,2,부산 관광호텔,부산광역시 중구 광복로97번길 23,기타,,썸네일 ID
--- Day 2 코스 시작 ---,,,,,,,,URtDAfeGITU
,1박 2일,2,3,유행통신,부산광역시 중구 국제시장2길 12-1 1층 유행통신,기타,,
,1박 2일,2,4,김영상회 2호점,부산광역시 중구 중구로47번길 18 로얄수입상가 건물 2층,기타,,
,1박 2일,2,5,이가네떡볶이,부산광역시 중구 부평1길 48,맛집,,
,1박 2일,2,6,레귤러하우스,부산광역시 중구 중구로40번길 22 2층,카페,,
,1박 2일,2,7,승기씨앗호떡,부산광역시 중구 광복로 38 동아데파트,맛집,,
,1박 2일,2,8,제주가 부산역직영점,부산광역시 동구 중앙대로196번길 6-9,맛집,,
,1박 2일,2,9,모모스커피 본점,부산광역시 금정구 오시게로 20 모모스커피 1층,카페,,
,1박 2일,2,10,진미돼지국밥,부산광역시 중구 부평1길 9,맛집,,
,1박 2일,2,11,롯데백화점 광복점 전망대,부산광역시 중구 중앙대로 2 롯데백화점 광복점 13F,관광지,,
,1박 2일,2,12,이재모피자 부산역점,부산광역시 동구 중앙대로 197 2층 이재모피자,맛집,,
,1박 2일,2,13,남천할매떡볶이 롯데백화점광복점,부산 중구 중앙대로 2,맛집,,
,,,,,,,,
코스 제목 (유튜브 명),일수 분류,일차,전체 순서,장소명,주소,카테고리,조회수,유튜브 링크
"먹고 또 먹는 1박2일 부산여행브이로그ㅣ부산맛집,부산카페,부산갈만한곳ㅣ부산 오션뷰숙소ㅣ돼지국밥맛집,밀면맛집,깡돼후돼지갈비,부산간식ㅣ국내여행브이로그ㅣ따뜻한오늘",1박 2일,1,1,합천일류돼지국밥,부산광역시 사상구 광장로 34 윌로펌프,맛집,"1,819",https://www.youtube.com/watch?v=HNI4syk3lqY&t=0s
,1박 2일,1,2,몽벨쉘터 사상점,부산광역시 사상구 사상로224번길 3 1층,기타,,썸네일 ID
,1박 2일,1,3,송도해상케이블카,부산광역시 서구 송도해변로 171,관광지,,HNI4syk3lqY
,1박 2일,1,4,부평깡통시장,부산광역시 중구 부평1길 48,관광지,,
,1박 2일,1,5,국립해양박물관,부산광역시 영도구 해양로301번길 45 국립해양박물관,관광지,,
,1박 2일,1,6,어반스테이 부산송도해변,부산광역시 서구 송도해변로 97 어반스테이 부산송도해변,기타,,
,1박 2일,1,7,혜영이네,부산 서구 암남동 620-24,맛집,,
,1박 2일,1,8,무신명품민물장어 부산송도해수욕장점,"부산광역시 서구 충무대로34번길 47 송도비치텔 2층 201, 202, 203호",관광지,,
--- Day 2 코스 시작 ---,,,,,,,,
,1박 2일,2,9,왕밀면냉면 본점,부산광역시 서구 충무대로 122-1 프레스코 2층,맛집,,
,1박 2일,2,10,올선데이 광안점,부산광역시 수영구 광안로61번길 28 1층,카페,,
,1박 2일,2,11,밀락더마켓,부산광역시 수영구 민락수변로17번길 56,관광지,,
,,,,,,,,
"알찬 1박 2일 부산 여행 브이로그 | 혼자만 알고싶은 오션뷰 카페와 로컬 맛집 공유 (해운대, 달맞이길, 청사포 해변 열차)",1박 2일,1,1,페어필드 바이 메리어트 부산 호텔,부산광역시 해운대구 해운대해변로 314,기타,"1,396",https://www.youtube.com/watch?v=V7zckSq7Xts&t=0s
,1박 2일,1,2,개미집국제시장본점,부산광역시 해운대구 구남로 34,관광지,,썸네일 ID
,1박 2일,1,3,동백당,부산광역시 해운대구 구남로41번길 21-1 해운대전통시장 1층 동백당,맛집,,V7zckSq7Xts
,1박 2일,1,4,삼영그릇백화점,부산광역시 해운대구 구남로41번길 22-1,기타,,
--- Day 2 코스 시작 ---,,,,,,,,
,1박 2일,2,5,비비비당,부산광역시 해운대구 달맞이길 239-16 4층비비비당,카페,,
,1박 2일,2,6,해운대블루라인파크 미포정거장,부산광역시 해운대구 달맞이길62번길 13,관광지,,
,1박 2일,2,7,소바야일미야,부산광역시 해운대구 중동2로10번길 16,맛집,,
,1박 2일,2,8,해운대명품호떡,부산광역시 해운대구 중동1로 38,맛집,,
,1박 2일,2,9,아모레 부산,부산광역시 해운대구 구남로 36 1층,기타,,
,,,,,,,,
코스 제목 (유튜브 명),일수 분류,일차,전체 순서,장소명,주소,카테고리,조회수,유튜브 링크
 vlog |🎄| 1박2일 부산여행 (카페와 소품샵만 가는 여행 어떤데~?) | 팟오브부산 | 전포카페 | 광안리카페 | 카페공원 | 코지모지 | 프린터리하우스 | 브리즈아카이브 ,1박 2일,1,1,팟오브부산,부산광역시 부산진구 동성로39번길 30-7 1층,카페,845,https://www.youtube.com/watch?v=Fa6VahUYT-c&t=0s
,1박 2일,1,2,프린터리하우스,"부산광역시 수영구 민락로 9-1 1, 2층",기타,,썸네일 ID
,1박 2일,1,3,코지모지,"부산광역시 수영구 광남로 175 2F, COSYMOSY",기타,,Fa6VahUYT-c
--- Day 2 코스 시작 ---,,,,,,,,
,1박 2일,2,4,용두산미디어파크,부산광역시 중구 용두산길 37-55,카페,,
,1박 2일,2,5,브리즈 아카이브,부산광역시 수영구 수영로606번길 125 2F,기타,,
,,,,,,,,
코스 제목 (유튜브 명),일수 분류,일차,전체 순서,장소명,주소,카테고리,조회수,유튜브 링크
부산 1박2일 여행 vlog 🌊 | 불꽃축제 명당 여기서 보세요! 🎇 | 맛집 · 빈티지샵 · 소품샵 털기 ✨,1박 2일,1,1,부산역 (고속철도),부산광역시 동구 중앙대로 206,기타,303,https://www.youtube.com/watch?v=tmJcx6mxnuk&t=0s
,1박 2일,1,2,베이크백,"부산광역시 동구 초량중로 53 1층, 2층",맛집,,썸네일 ID
,1박 2일,1,3,부평깡통시장,부산광역시 중구 부평1길 48,관광지,,tmJcx6mxnuk
,1박 2일,1,4,이가네떡볶이,부산광역시 중구 부평1길 48,맛집,,
,1박 2일,1,5,밀곳,부산광역시 중구 부평1길 49 1층,맛집,,
,1박 2일,1,6,깡돼후,부산광역시 중구 부평1길 57 깡돼후야시장,맛집,,
,1박 2일,1,7,김영상회 2호점,부산광역시 중구 중구로47번길 18 로얄수입상가 건물 2층,기타,,
,1박 2일,1,8,보수동책방골목,부산광역시 중구 대청로 67-1,관광지,,
,1박 2일,1,9,우리글방북카페,부산 중구 책방골목길 14-1,카페,,
,1박 2일,1,10,월마트,부산광역시 중구 중구로48번길 10-2,기타,,
,1박 2일,1,11,부산 불꽃축제,부산광역시 수영구 광안해변로 219,관광지,,
,1박 2일,1,12,내키고 점포점,부산 부산진구 전포대로209번길 17-5,맛집,,
--- Day 2 코스 시작 ---,,,,,,,,
,1박 2일,2,13,리베르타 청사포점,"부산광역시 해운대구 청사포로 137 1, 2, 3층",관광지,,
,1박 2일,2,14,엄용백 돼지국밥 수영본점,부산광역시 수영구 수영로680번길 39,맛집,,
,1박 2일,2,15,톤쇼우 광안점,부산광역시 수영구 광안해변로279번길 13 1층,관광지,,
,1박 2일,2,16,파니에 광안점,부산광역시 수영구 광안로 41 1층,기타,,
,1박 2일,2,17,영동밀면&amp;돼지국밥,부산광역시 동구 중앙대로209번길 12,맛집,,
,1박 2일,2,18,부산역 (고속철도),부산광역시 동구 중앙대로 206,기타,,
,,,,,,,,
코스 제목 (유튜브 명),일수 분류,일차,전체 순서,장소명,주소,카테고리,조회수,유튜브 링크
"OFF vlog 🌊 살찔 수밖에 없었던 2박3일 부산여행 브이로그 | 문토스트,호랑이젤라떡,이재모피자,초량밀면,붕어빵,개미집,돼지갈비치킨,씨앗호떡,돼지국밥,회 등 | 먹방브이로그",2박 3일,1,1,부산역 (고속철도),부산광역시 동구 중앙대로 206,기타,"326,084",https://www.youtube.com/watch?v=MU3MRpKsHvc&t=0s
,2박 3일,1,2,초량밀면,부산광역시 동구 중앙대로 225,맛집,,썸네일 ID
,2박 3일,1,3,부산역 앞 붕어빵,부산 동구 중앙대로 215 국민은행 부산역점 근처,맛집,,MU3MRpKsHvc
,2박 3일,1,4,AG405 HOTEL,부산광역시 수영구 민락수변로 141,기타,,
,2박 3일,1,5,자갈치횟집 수영점,부산 수영구 무학로9번길 22,맛집,,
,2박 3일,1,6,문토스트 광안직영점,부산 수영구 민락수변로 29,맛집,,
,2박 3일,1,7,국제통닭 남천점,부산광역시 수영구 남천동로 105,맛집,,
--- Day 2 코스 시작 ---,,,,,,,,
,2박 3일,2,8,이재모피자 부산역점,부산광역시 동구 중앙대로 197 2층 이재모피자,맛집,,
,2박 3일,2,9,남포동 BIFF광장 씨앗호떡,부산 중구 비프광장로 36,맛집,,
,2박 3일,2,10,깡돼후,부산광역시 중구 부평1길 57 깡돼후야시장,맛집,,
,2박 3일,2,11,청주떡방앗간,부산광역시 중구 중구로43번길 46,맛집,,
,2박 3일,2,12,해운대블루라인파크,부산광역시 해운대구 청사포로 116 청사포정거장,관광지,,
,2박 3일,2,13,호랑이젤라떡 부산해운대본점,"부산광역시 해운대구 달맞이길62번길 38 115호, 116호",카페,,
,2박 3일,2,14,파라다이스호텔부산 크리스탈가든,부산광역시 해운대구 해운대해변로 296 본관 1층,카페,,
,2박 3일,2,15,개미집 해운대점 주차장,부산광역시 해운대구 구남로30번길 9-3,맛집,,
--- Day 3 코스 시작 ---,,,,,,,,
,2박 3일,3,16,수변최고돼지국밥 민락본점,부산광역시 수영구 광안해변로370번길 9-32,맛집,,
,,,,,,,,
코스 제목 (유튜브 명),일수 분류,일차,전체 순서,장소명,주소,카테고리,조회수,유튜브 링크
"나혼자 2박3일 부산🌊 술을 물처럼 마신 여자의 먹방 브이로그 (수변최고돼지국밥, 밀면, 치킨버거클럽, 파란집, 야화 포장마차)",2박 3일,1,1,쏘타스위트 부산서면,부산광역시 부산진구 중앙대로 654 서면푸르지오시그니처,기타,"100,564",https://www.youtube.com/watch?v=nnomwtTHvFc&t=0s
